Modell,Kosten,GLUE,SuperGLUE,SQuAD 2.0,RACE,Parameter
BERT-small,768,"0,2868",,,,29.000.000
BERT-base,3072,"0,072","0,215",,"0,1784",110.000.000
BERT-large,12.288,,,1,"0,0446",340.000.000
DeBERTa-base,38.093,,,"0,246",,134.000.000
DeBERTa-large,114.278,,,0,0,169.000.000
DeBERTa-1.5Mrd,457.114,,0,,,1.500.000.000
RoBERTa,60.948,0,"0,0115","0,1129","0,0053",355.000.000
Bort,714,"0,346",1,,1,39.000.000.000
ALBERT-xxlarge,32.768,,,"0,3179","0,0153",235.000.000
ELECTRA-small,238,1,,,,14.000.000
ELECTRA-base,12.288,"0,0164",,,,110.000.000
XLNet,61.440,,,"0,1147","0,0055",110.000.000